Ukraine,113
Belarus,43
Azerbaijan,33
Iceland,58
Norway,88
Romania,72
Armenia,174
Montenegro,37
Poland,62
Greece,35
Austria,290
Germany,39
Sweden,218
France,2
Russia,89
Italy,33
Slovenia,9
Finland,72
Spain,74
Switzerland,64
Hungary,143
Malta,32
Denmark,74
Netherlands,238
San Marino,14
United Kingdom,40
